SiteSurveyID,SiteCode,EventID,SiteSelection,SiteLatitude,SiteLongitude,SiteSubregion,SiteZone,SiteTeam
2024.2.ANU.1019.R,2024.2.ANU.1019,2024.2.ANU,R,27.018134,-80.069349,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.1020.R,2024.2.ANU.1020,2024.2.ANU,R,27.013291,-80.068585,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.1021.R,2024.2.ANU.1021,2024.2.ANU,R,27.00694,-80.067099,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.1022.R,2024.2.ANU.1022,2024.2.ANU,R,27.0065,-80.068129,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.1023.R,2024.2.ANU.1023,2024.2.ANU,R,27.005846,-80.066902,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.1063.R,2024.2.ANU.1063,2024.2.ANU,R,26.615969,-80.023223,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.1064.R,2024.2.ANU.1064,2024.2.ANU,R,26.614995,-80.023759,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.1065.R,2024.2.ANU.1065,2024.2.ANU,R,26.607414,-80.023453,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.1066.R,2024.2.ANU.1066,2024.2.ANU,R,26.600197,-80.024671,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.1071.R,2024.2.ANU.1071,2024.2.ANU,R,26.561399,-80.027863,South Palm Beach,Undetermined,DEP-West Palm
2024.2.ANU.1072.R,2024.2.ANU.1072,2024.2.ANU,R,26.552349,-80.030451,South Palm Beach,Undetermined,DEP-West Palm
2024.2.ANU.1074.R,2024.2.ANU.1074,2024.2.ANU,R,26.521214,-80.032971,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.1077.R,2024.2.ANU.1077,2024.2.ANU,R,26.465805,-80.043716,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.1083.R,2024.2.ANU.1083,2024.2.ANU,R,26.241249,-80.083107,Broward-Miami,Inshore,Broward County
2024.2.ANU.1084.R,2024.2.ANU.1084,2024.2.ANU,R,26.237202,-80.08564,Broward-Miami,Inshore,Broward County
2024.2.ANU.1086.R,2024.2.ANU.1086,2024.2.ANU,R,26.23089,-80.087189,Broward-Miami,Inshore,Broward County
2024.2.ANU.1087.R,2024.2.ANU.1087,2024.2.ANU,R,26.228138,-80.0802,Broward-Miami,Undetermined,Broward County
2024.2.ANU.1089.R,2024.2.ANU.1089,2024.2.ANU,R,26.226822,-80.08622,Broward-Miami,Inshore,Broward County
2024.2.ANU.1090.R,2024.2.ANU.1090,2024.2.ANU,R,26.22366,-80.085747,Broward-Miami,Inshore,Broward County
2024.2.ANU.1091.R,2024.2.ANU.1091,2024.2.ANU,R,26.223221,-80.087753,Broward-Miami,Inshore,Broward County
2024.2.ANU.1092.R,2024.2.ANU.1092,2024.2.ANU,R,26.217794,-80.088824,Broward-Miami,Inshore,Broward County
2024.2.ANU.1094.R,2024.2.ANU.1094,2024.2.ANU,R,26.202915,-80.089409,Broward-Miami,Inshore,Broward County
2024.2.ANU.1095.R,2024.2.ANU.1095,2024.2.ANU,R,26.202894,-80.085907,Broward-Miami,Inshore,Broward County
2024.2.ANU.1096.R,2024.2.ANU.1096,2024.2.ANU,R,26.191198,-80.092506,Broward-Miami,Inshore,Broward County
2024.2.ANU.1097.R,2024.2.ANU.1097,2024.2.ANU,R,26.188919,-80.08902,Broward-Miami,Inshore,Broward County
2024.2.ANU.1098.R,2024.2.ANU.1098,2024.2.ANU,R,26.18891,-80.087517,Broward-Miami,Inshore,Broward County
2024.2.ANU.1099.R,2024.2.ANU.1099,2024.2.ANU,R,26.186207,-80.088539,Broward-Miami,Inshore,Broward County
2024.2.ANU.1102.R,2024.2.ANU.1102,2024.2.ANU,R,26.175322,-80.08062,Broward-Miami,Middle Reef,Broward County
2024.2.ANU.1104.R,2024.2.ANU.1104,2024.2.ANU,R,26.170824,-80.08266,Broward-Miami,Undetermined,NOVA Southeastern University
2024.2.ANU.1108.R,2024.2.ANU.1108,2024.2.ANU,R,26.162291,-80.090225,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1109.R,2024.2.ANU.1109,2024.2.ANU,R,26.160942,-80.09124,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1110.R,2024.2.ANU.1110,2024.2.ANU,R,26.153269,-80.091293,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1111.R,2024.2.ANU.1111,2024.2.ANU,R,26.14834,-80.097336,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1113.R,2024.2.ANU.1113,2024.2.ANU,R,26.139725,-80.0914,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1114.R,2024.2.ANU.1114,2024.2.ANU,R,26.13889,-80.093697,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1124.R,2024.2.ANU.1124,2024.2.ANU,R,26.109669,-80.091848,Broward-Miami,Inner Reef,Shedd Aquarium
2024.2.ANU.1127.R,2024.2.ANU.1127,2024.2.ANU,R,26.100054,-80.100204,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.1128.R,2024.2.ANU.1128,2024.2.ANU,R,26.099588,-80.098213,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.1130.R,2024.2.ANU.1130,2024.2.ANU,R,26.088783,-80.102791,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.1132.R,2024.2.ANU.1132,2024.2.ANU,R,26.086096,-80.106316,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.1133.R,2024.2.ANU.1133,2024.2.ANU,R,26.085127,-80.095299,Broward-Miami,Inner Reef,Shedd Aquarium
2024.2.ANU.1134.R,2024.2.ANU.1134,2024.2.ANU,R,26.08379,-80.098335,Broward-Miami,Inner Reef,Shedd Aquarium
2024.2.ANU.1137.R,2024.2.ANU.1137,2024.2.ANU,R,26.076626,-80.107887,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.1139.R,2024.2.ANU.1139,2024.2.ANU,R,26.072102,-80.106422,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.1141.R,2024.2.ANU.1141,2024.2.ANU,R,26.067577,-80.104958,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.1149.R,2024.2.ANU.1149,2024.2.ANU,R,26.041372,-80.101654,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1152.R,2024.2.ANU.1152,2024.2.ANU,R,26.028284,-80.102257,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1153.R,2024.2.ANU.1153,2024.2.ANU,R,26.021967,-80.102806,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1154.R,2024.2.ANU.1154,2024.2.ANU,R,26.013876,-80.10836,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1155.R,2024.2.ANU.1155,2024.2.ANU,R,26.012957,-80.105865,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1156.R,2024.2.ANU.1156,2024.2.ANU,R,26.010221,-80.101395,Broward-Miami,Inner Reef,NOVA Southeastern University
2024.2.ANU.1157.R,2024.2.ANU.1157,2024.2.ANU,R,26.008459,-80.108398,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1158.R,2024.2.ANU.1158,2024.2.ANU,R,26.005774,-80.112419,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1159.R,2024.2.ANU.1159,2024.2.ANU,R,25.999505,-80.095292,Broward-Miami,Middle Reef,NOVA Southeastern University
2024.2.ANU.1160.R,2024.2.ANU.1160,2024.2.ANU,R,25.998951,-80.103973,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1161.R,2024.2.ANU.1161,2024.2.ANU,R,25.998102,-80.112976,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1162.R,2024.2.ANU.1162,2024.2.ANU,R,25.996229,-80.101997,Broward-Miami,Inner Reef,NOVA Southeastern University
2024.2.ANU.1163.R,2024.2.ANU.1163,2024.2.ANU,R,25.995388,-80.112,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1164.R,2024.2.ANU.1164,2024.2.ANU,R,25.995295,-80.097008,Broward-Miami,Middle Reef,NOVA Southeastern University
2024.2.ANU.1166.R,2024.2.ANU.1166,2024.2.ANU,R,25.98134,-80.103607,Broward-Miami,Inner Reef,NOVA Southeastern University
2024.2.ANU.1167.R,2024.2.ANU.1167,2024.2.ANU,R,25.975952,-80.108147,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.1168.R,2024.2.ANU.1168,2024.2.ANU,R,25.965652,-80.093951,Broward-Miami,Middle Reef,DEP-Miami
2024.2.ANU.1169.R,2024.2.ANU.1169,2024.2.ANU,R,25.965549,-80.105232,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1171.R,2024.2.ANU.1171,2024.2.ANU,R,25.957443,-80.108284,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1172.R,2024.2.ANU.1172,2024.2.ANU,R,25.956972,-80.105293,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1173.R,2024.2.ANU.1173,2024.2.ANU,R,25.95618,-80.09909,Broward-Miami,Inner Reef,DEP-Miami
2024.2.ANU.1174.R,2024.2.ANU.1174,2024.2.ANU,R,25.954613,-80.088829,Broward-Miami,Outer Reef,DEP-Miami
2024.2.ANU.1175.R,2024.2.ANU.1175,2024.2.ANU,R,25.951584,-80.109825,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1176.R,2024.2.ANU.1176,2024.2.ANU,R,25.949341,-80.112343,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1177.R,2024.2.ANU.1177,2024.2.ANU,R,25.949293,-80.104355,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1178.R,2024.2.ANU.1178,2024.2.ANU,R,25.945692,-80.106377,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1179.R,2024.2.ANU.1179,2024.2.ANU,R,25.944366,-80.110878,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1180.R,2024.2.ANU.1180,2024.2.ANU,R,25.943899,-80.108391,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1181.R,2024.2.ANU.1181,2024.2.ANU,R,25.940453,-80.102147,Broward-Miami,Inner Reef,DEP-Miami
2024.2.ANU.1182.R,2024.2.ANU.1182,2024.2.ANU,R,25.939398,-80.11042,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1183.R,2024.2.ANU.1183,2024.2.ANU,R,25.938812,-80.088951,Broward-Miami,Outer Reef,DEP-Miami
2024.2.ANU.1184.R,2024.2.ANU.1184,2024.2.ANU,R,25.932644,-80.113464,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1185.R,2024.2.ANU.1185,2024.2.ANU,R,25.919012,-80.099091,Broward-Miami,Middle Reef,DEP-Miami
2024.2.ANU.1186.R,2024.2.ANU.1186,2024.2.ANU,R,25.906393,-80.102684,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1187.R,2024.2.ANU.1187,2024.2.ANU,R,25.901132,-80.09552,Broward-Miami,Middle Reef,DEP-Miami
2024.2.ANU.1188.R,2024.2.ANU.1188,2024.2.ANU,R,25.896439,-80.099258,Broward-Miami,Middle Reef,DEP-Miami
2024.2.ANU.1189.R,2024.2.ANU.1189,2024.2.ANU,R,25.887899,-80.105316,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1190.R,2024.2.ANU.1190,2024.2.ANU,R,25.886063,-80.100342,Broward-Miami,Inner Reef,DEP-Miami
2024.2.ANU.1191.R,2024.2.ANU.1191,2024.2.ANU,R,25.88082,-80.10008,Broward-Miami,Inner Reef,DERM-Miami
2024.2.ANU.1192.R,2024.2.ANU.1192,2024.2.ANU,R,25.879761,-80.103378,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1194.R,2024.2.ANU.1194,2024.2.ANU,R,25.87532,-80.10647,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1196.R,2024.2.ANU.1196,2024.2.ANU,R,25.874331,-80.101425,Broward-Miami,Inner Reef,DEP-Miami
2024.2.ANU.1197.R,2024.2.ANU.1197,2024.2.ANU,R,25.863546,-80.109489,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1198.R,2024.2.ANU.1198,2024.2.ANU,R,25.861854,-80.113935,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1199.R,2024.2.ANU.1199,2024.2.ANU,R,25.861301,-80.111504,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.1200.R,2024.2.ANU.1200,2024.2.ANU,R,25.84795,-80.0925,Broward-Miami,Middle Reef,DERM-Miami
2024.2.ANU.1201.R,2024.2.ANU.1201,2024.2.ANU,R,25.84638,-80.10468,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1202.R,2024.2.ANU.1202,2024.2.ANU,R,25.84545,-80.11055,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1203.R,2024.2.ANU.1203,2024.2.ANU,R,25.8446,-80.1081,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1204.R,2024.2.ANU.1204,2024.2.ANU,R,25.84093,-80.1107,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1205.R,2024.2.ANU.1205,2024.2.ANU,R,25.83862,-80.10025,Broward-Miami,Inner Reef,DERM-Miami
2024.2.ANU.1206.R,2024.2.ANU.1206,2024.2.ANU,R,25.8355,-80.08878,Broward-Miami,Undetermined,DERM-Miami
2024.2.ANU.1207.R,2024.2.ANU.1207,2024.2.ANU,R,25.83197,-80.11172,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1208.R,2024.2.ANU.1208,2024.2.ANU,R,25.82245,-80.10677,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1209.R,2024.2.ANU.1209,2024.2.ANU,R,25.81383,-80.0979,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1210.R,2024.2.ANU.1210,2024.2.ANU,R,25.80887,-80.08888,Broward-Miami,Outer Reef,DERM-Miami
2024.2.ANU.1211.R,2024.2.ANU.1211,2024.2.ANU,R,25.80575,-80.10397,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1212.R,2024.2.ANU.1212,2024.2.ANU,R,25.80167,-80.10047,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1213.R,2024.2.ANU.1213,2024.2.ANU,R,25.79853,-80.1079,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1214.R,2024.2.ANU.1214,2024.2.ANU,R,25.79375,-80.09687,Broward-Miami,Inner Reef,DERM-Miami
2024.2.ANU.1215.R,2024.2.ANU.1215,2024.2.ANU,R,25.78683,-80.11652,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1216.R,2024.2.ANU.1216,2024.2.ANU,R,25.78542,-80.10415,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1217.R,2024.2.ANU.1217,2024.2.ANU,R,25.78188,-80.10565,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1218.R,2024.2.ANU.1218,2024.2.ANU,R,25.77865,-80.10117,Broward-Miami,Inshore,DERM-Miami
2024.2.ANU.1219.R,2024.2.ANU.1219,2024.2.ANU,R,25.77765,-80.0966,Broward-Miami,Inner Reef,DERM-Miami
2024.2.ANU.1220.R,2024.2.ANU.1220,2024.2.ANU,R,25.77135,-80.08825,Broward-Miami,Outer Reef,DERM-Miami
2024.2.ANU.1221.R,2024.2.ANU.1221,2024.2.ANU,R,25.77095,-80.09667,Broward-Miami,Inner Reef,DERM-Miami
2024.2.ANU.1222.R,2024.2.ANU.1222,2024.2.ANU,R,25.76708,-80.09403,Broward-Miami,Middle Reef,DERM-Miami
2024.2.ANU.1223.R,2024.2.ANU.1223,2024.2.ANU,R,25.76637,-80.0893,Broward-Miami,Outer Reef,DERM-Miami
2024.2.ANU.2009.R,2024.2.ANU.2009,2024.2.ANU,R,27.018917,-80.066835,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.2010.R,2024.2.ANU.2010,2024.2.ANU,R,27.017788,-80.068618,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.2011.R,2024.2.ANU.2011,2024.2.ANU,R,27.010368,-80.068375,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.2015.R,2024.2.ANU.2015,2024.2.ANU,R,26.994128,-80.066896,Martin County,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.2016.R,2024.2.ANU.2016,2024.2.ANU,R,26.993658,-80.067001,North Palm Beach,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.2037.R,2024.2.ANU.2037,2024.2.ANU,R,26.709826,-80.015045,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.2039.R,2024.2.ANU.2039,2024.2.ANU,R,26.705774,-80.016586,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.2041.R,2024.2.ANU.2041,2024.2.ANU,R,26.696699,-80.017907,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.2047.R,2024.2.ANU.2047,2024.2.ANU,R,26.675528,-80.019029,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.2048.R,2024.2.ANU.2048,2024.2.ANU,R,26.674639,-80.018364,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.2049.R,2024.2.ANU.2049,2024.2.ANU,R,26.673296,-80.019882,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.2052.R,2024.2.ANU.2052,2024.2.ANU,R,26.643642,-80.020693,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.2053.R,2024.2.ANU.2053,2024.2.ANU,R,26.623661,-80.022617,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.2055.R,2024.2.ANU.2055,2024.2.ANU,R,26.583751,-80.025421,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.2056.R,2024.2.ANU.2056,2024.2.ANU,R,26.570777,-80.026664,South Palm Beach,Undetermined,Palm Beach County
2024.2.ANU.2061.R,2024.2.ANU.2061,2024.2.ANU,R,26.506169,-80.033966,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.2097.R,2024.2.ANU.2097,2024.2.ANU,R,26.154205,-80.096794,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.2098.R,2024.2.ANU.2098,2024.2.ANU,R,26.152846,-80.098598,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.2099.R,2024.2.ANU.2099,2024.2.ANU,R,26.144722,-80.096367,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.2100.R,2024.2.ANU.2100,2024.2.ANU,R,26.144281,-80.09787,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.2101.R,2024.2.ANU.2101,2024.2.ANU,R,26.142031,-80.098885,Broward-Miami,Inshore,NOVA Southeastern University
2024.2.ANU.2111.R,2024.2.ANU.2111,2024.2.ANU,R,26.109543,-80.101639,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.2112.R,2024.2.ANU.2112,2024.2.ANU,R,26.105465,-80.099167,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.2115.R,2024.2.ANU.2115,2024.2.ANU,R,26.077469,-80.098381,Broward-Miami,Inner Reef,Shedd Aquarium
2024.2.ANU.2116.R,2024.2.ANU.2116,2024.2.ANU,R,26.077074,-80.107384,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.2120.R,2024.2.ANU.2120,2024.2.ANU,R,26.069349,-80.099442,Broward-Miami,Inner Reef,Shedd Aquarium
2024.2.ANU.2151.R,2024.2.ANU.2151,2024.2.ANU,R,25.954735,-80.108307,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.2158.R,2024.2.ANU.2158,2024.2.ANU,R,25.92765,-80.109009,Broward-Miami,Inshore,DEP-Miami
2024.2.ANU.3062.R,2024.2.ANU.3062,2024.2.ANU,R,26.92409,-80.02596,North Palm Beach,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.3063.R,2024.2.ANU.3063,2024.2.ANU,R,26.91335,-80.02398,North Palm Beach,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.3064.R,2024.2.ANU.3064,2024.2.ANU,R,26.94327,-80.02805,North Palm Beach,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.3066.R,2024.2.ANU.3066,2024.2.ANU,R,26.65525,-80.02232,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.3067.R,2024.2.ANU.3067,2024.2.ANU,R,25.9586167,-80.0969333,Broward-Miami,Middle Reef,DEP-Miami
2024.2.ANU.3068.R,2024.2.ANU.3068,2024.2.ANU,R,26.0954,-80.1012,Broward-Miami,Undetermined,Shedd Aquarium
2024.2.ANU.3069.R,2024.2.ANU.3069,2024.2.ANU,R,26.0981,-80.1011,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.3070.R,2024.2.ANU.3070,2024.2.ANU,R,26.0982,-80.0988,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.3071.R,2024.2.ANU.3071,2024.2.ANU,R,26.0954,-80.0957,Broward-Miami,Undetermined,Shedd Aquarium
2024.2.ANU.3074.R,2024.2.ANU.3074,2024.2.ANU,R,26.0963,-80.0949,Broward-Miami,Undetermined,Shedd Aquarium
2024.2.ANU.3075.R,2024.2.ANU.3075,2024.2.ANU,R,26.0982,-80.0939,Broward-Miami,Inner Reef,Shedd Aquarium
2024.2.ANU.3077.R,2024.2.ANU.3077,2024.2.ANU,R,26.0911,-80.1032,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.3080.R,2024.2.ANU.3080,2024.2.ANU,R,26.0922,-80.1001,Broward-Miami,Undetermined,Shedd Aquarium
2024.2.ANU.3081.R,2024.2.ANU.3081,2024.2.ANU,R,26.0902,-80.1001,Broward-Miami,Undetermined,Shedd Aquarium
2024.2.ANU.3082.R,2024.2.ANU.3082,2024.2.ANU,R,26.092,-80.0962,Broward-Miami,Undetermined,Shedd Aquarium
2024.2.ANU.3083.R,2024.2.ANU.3083,2024.2.ANU,R,26.0911,-80.0964,Broward-Miami,Undetermined,Shedd Aquarium
2024.2.ANU.3084.R,2024.2.ANU.3084,2024.2.ANU,R,26.0902,-80.0966,Broward-Miami,Inner Reef,Shedd Aquarium
2024.2.ANU.3085.R,2024.2.ANU.3085,2024.2.ANU,R,26.0919,-80.0937,Broward-Miami,Undetermined,Shedd Aquarium
2024.2.ANU.3086.R,2024.2.ANU.3086,2024.2.ANU,R,26.0911,-80.094,Broward-Miami,Inner Reef,Shedd Aquarium
2024.2.ANU.3087.R,2024.2.ANU.3087,2024.2.ANU,R,26.0902,-80.0941,Broward-Miami,Inner Reef,Shedd Aquarium
2024.2.ANU.3088.R,2024.2.ANU.3088,2024.2.ANU,R,26.0957,-80.0915,Broward-Miami,Middle Reef,Shedd Aquarium
2024.2.ANU.3089.R,2024.2.ANU.3089,2024.2.ANU,R,26.0966,-80.0913,Broward-Miami,Undetermined,Shedd Aquarium
2024.2.ANU.3090.R,2024.2.ANU.3090,2024.2.ANU,R,26.0985,-80.091,Broward-Miami,Middle Reef,Shedd Aquarium
2024.2.ANU.3091.R,2024.2.ANU.3091,2024.2.ANU,R,26.0968,-80.0885,Broward-Miami,Undetermined,Shedd Aquarium
2024.2.ANU.3092.R,2024.2.ANU.3092,2024.2.ANU,R,26.0918,-80.0915,Broward-Miami,Middle Reef,Shedd Aquarium
2024.2.ANU.3093.R,2024.2.ANU.3093,2024.2.ANU,R,26.0909,-80.0915,Broward-Miami,Middle Reef,Shedd Aquarium
2024.2.ANU.3094.R,2024.2.ANU.3094,2024.2.ANU,R,26.099233,-80.10165,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.3096.R,2024.2.ANU.3096,2024.2.ANU,R,26.086131,-80.102996,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.3098.R,2024.2.ANU.3098,2024.2.ANU,R,26.590533,-80.025183,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.3099.R,2024.2.ANU.3099,2024.2.ANU,R,26.5728,-80.025483,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.3100.R,2024.2.ANU.3100,2024.2.ANU,R,26.5679,-80.026967,South Palm Beach,Undetermined,DEP-West Palm
2024.2.ANU.3101.R,2024.2.ANU.3101,2024.2.ANU,R,26.510883,-80.03375,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.3102.R,2024.2.ANU.3102,2024.2.ANU,R,26.494733,-80.037,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.3103.R,2024.2.ANU.3103,2024.2.ANU,R,26.448067,-80.04645,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.3104.R,2024.2.ANU.3104,2024.2.ANU,R,26.4413,-80.046983,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.3105.R,2024.2.ANU.3105,2024.2.ANU,R,26.436367,-80.047517,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.3106.R,2024.2.ANU.3106,2024.2.ANU,R,26.5195,-80.032283,South Palm Beach,Outer Reef,DEP-West Palm
2024.2.ANU.3110.R,2024.2.ANU.3110,2024.2.ANU,R,26.0985,-80.0959,Broward-Miami,Inshore,Shedd Aquarium
2024.2.ANU.3113.R,2024.2.ANU.3113,2024.2.ANU,R,26.518,-80.032,South Palm Beach,Outer Reef,Palm Beach County
2024.2.ANU.3115.R,2024.2.ANU.3115,2024.2.ANU,R,26.91127,-80.02545,North Palm Beach,Reef Ridge Complex,Palm Beach Zoo
2024.2.ANU.3116.R,2024.2.ANU.3116,2024.2.ANU,R,26.9261,-80.02557,North Palm Beach,Undetermined,Palm Beach Zoo
2024.2.ANU.3117.R,2024.2.ANU.3117,2024.2.ANU,R,26.92225,-80.02559,North Palm Beach,Reef Ridge Complex,Palm Beach Zoo
